Incident ID,Timestamp,Incident Type,Call Type,Source Number,Destination Number,Error Code,Signal Strength,Device Type,Network Segment,Codec Used,Jitter,Latency,Packet Loss,Impact Area,Cell Tower Geolocation,Impact Severity,User Impact,Services Affected,Attack Type,Network Load / Congestion Level
1,13-12-2024 2.57,Routing Protocol Failure,Video,+91 9460539646,+91 9904492733,503.0,-42.75407537067283,Router,Edge Network,H.264,16ms,95ms,8%,Delhi NCR,"28.8394° N, 77.7288° E",Low,1788 users,Data,Call Interception,41%
2,19-12-2024 10.19,Complete Service Downtime,Video,+91 9057996439,+91 9017024713,500.0,-62.4374432962376,Mobile,Edge Network,G.711,8ms,460ms,7%,Kolkata,"28.0128° N, 77.5380° E",Medium,1127 users,Mobile,Call Interception,100%
3,17-12-2024 14.11,Intermittent Failure,Voice,+91 9153381866,+91 9645695477,404.0,-52.92998034240466,Router,Access Network,H.264,19ms,258ms,5%,Kolkata,"28.0167° N, 77.6450° E",Low,1343 users,PBX,Call Interception,64%
4,12-12-2024 20.07,Echo During Calls,Voice,+91 9640976328,+91 9457554707,503.0,-46.84038441558204,PBX,Core Network,Opus,33ms,289ms,5%,Kolkata,"28.7029° N, 77.2251° E",Low,1073 users,Mobile,DDoS,52%
5,15-12-2024 19.50,Service Outage,Video,+91 9415497302,+91 9855316607,500.0,-56.39099955695254,Switch,Access Network,Opus,27ms,468ms,5%,Chennai,"28.9091° N, 77.4726° E",High,1876 users,Mobile,DDoS,61%
6,16-12-2024 12.26,Service Outage,Voice,+91 9240883626,+91 9791445289,500.0,-77.1566923379683,PBX,Core Network,G.729,45ms,60ms,9%,Bangalore,"28.0133° N, 77.1527° E",Critical,2665 users,Data,Call Interception,63%
7,19-12-2024 4.42,denial of services,Voice,+91 9917089068,+91 9977776071,503.0,-89.09656730028753,Mobile,Access Network,Opus,33ms,269ms,0%,Kolkata,"28.9031° N, 77.6494° E",Critical,4267 users,Data,Call Interception,49%
8,13-12-2024 11.51,Latency and Delay,Voice,+91 9775336086,+91 9405425301,404.0,-74.76916726120922,Mobile,Access Network,Opus,37ms,318ms,5%,Delhi NCR,"28.4941° N, 77.3953° E",Critical,292 users,PBX,Equipment Breach,46%
9,14-12-2024 7.56,unauthorized access,Video,+91 9954993002,+91 9526439245,503.0,-67.70250629454634,Router,Edge Network,Opus,49ms,119ms,1%,Kolkata,"28.3697° N, 77.3698° E",Low,3814 users,Data,Call Interception,94%
10,17-12-2024 9.12,Blank Response After Calling,Video,+91 9151979370,+91 9909987879,500.0,-87.76710412906903,Switch,Access Network,H.264,16ms,499ms,0%,Chennai,"28.7005° N, 77.6798° E",Low,4264 users,Data,,72%
